City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Quang Ngai,VN,79.41,heavy intensity rain,15.1167,108.8,Central Hotel
199,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
201,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
206,Praia,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
208,Balabac,PH,81.97,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
209,Umm Lajj,SA,90.36,clear sky,25.0213,37.2685,Moon light Furnished Units
211,Tiarei,PF,77.02,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
212,Amaigbo,NG,83.19,overcast clouds,5.7892,7.8383,IKEMBA GUEST HOUSE
221,Red Bluff,US,77.86,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
224,Jacareacanga,BR,88.59,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
225,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
228,Ixtapa,MX,81.63,few clouds,20.7,-105.2,hotel la terminal
229,Manzil Salim,TN,82.69,clear sky,35.8567,8.4765,mohamed ben khlil omri
235,Manokwari,ID,79.12,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
236,Morant Bay,JM,88.72,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
237,Broome,US,79.2,broken clouds,42.2506,-75.833,Chenango Valley State Park
238,Hamilton,US,85.64,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
239,Gummidipundi,IN,84.97,overcast clouds,13.4,80.15,Le Raj Courtyard
240,Victoria,HK,75.96,light rain,22.2855,114.1577,Mini Central
242,Tomatlan,MX,90.37,overcast clouds,19.9333,-105.25,El Salvial
253,Camacari,BR,83.97,broken clouds,-12.6975,-38.3242,Sítio Blasi
255,Payo,ID,75.99,broken clouds,-3.7508,103.6372,Mess keban agung
256,Conceicao Do Araguaia,BR,84.18,heavy intensity rain,-8.2578,-49.2647,Tarumã Tropical Hotel
258,Boundiali,CI,88.45,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
260,Pampa,US,87.19,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
264,Turayf,SA,84.45,clear sky,31.6725,38.6637,Turaif
266,Salamiyah,SY,76.26,broken clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
268,Nantucket,US,78.91,overcast clouds,41.2835,-70.0995,Jared Coffin House
270,Sibolga,ID,78.73,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
274,Dingle,PH,78.51,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
275,Labuhan,ID,80.04,overcast clouds,-6.8844,112.2051,DoubleFAG
281,Jiwani,PK,85.05,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
284,Wanning,CN,79.3,broken clouds,18.8003,110.3967,Paradise Hotel
285,Kindu,CD,78.19,broken clouds,-2.95,25.95,Résidence Okanda
286,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
289,Alugan,PH,80.89,broken clouds,12.2188,125.4808,JM Lodge
290,La Sarre,CA,77.52,overcast clouds,48.8002,-79.1996,Motel Villa Mon Repos
296,Douglas,US,83.28,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
298,Lorengau,PG,80.98,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
301,Salalah,OM,86.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
302,Vicksburg,US,82.08,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
304,Sandur,IN,80.71,scattered clouds,15.1,76.55,"WelcomHeritage Shivavilas Palace Hotel, Hampi"
306,Redlands,US,91.94,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
307,Mantua,IT,83.08,clear sky,45.1667,10.7833,Hotel la Favorita
308,Kpalime,TG,84.25,overcast clouds,6.9,0.6333,Hotel La Lumiere Kpalimé
310,Nanga Eboko,CM,76.03,overcast clouds,4.6833,12.3667,Motel Papi Palace
316,Sibu,MY,80.91,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
