City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Sakakah,SA,2022-05-10 19:25:34,29.9697,40.2064,76.57,16,0,9.69
108,Sarkand,KZ,2022-05-10 19:25:35,45.41,79.9186,65.26,57,100,6.71
109,Rosarito,MX,2022-05-10 19:25:35,32.3333,-117.0333,72.41,55,88,14.61
110,Mar Del Plata,AR,2022-05-10 19:25:36,-38.0023,-57.5575,55.94,77,0,10.36
111,Arlit,NE,2022-05-10 19:25:36,18.7369,7.3853,97.59,10,0,9.28
112,Yeppoon,AU,2022-05-10 19:24:53,-23.1333,150.7333,67.78,86,100,14.23
113,Luderitz,NA,2022-05-10 19:25:37,-26.6481,15.1594,58.26,71,54,10.33
114,Isabela,PH,2022-05-10 19:25:37,6.7085,121.9711,77.7,91,100,4.99
115,Bulgan,MN,2022-05-10 19:25:37,48.8125,103.5347,28.62,65,10,1.79
116,Kodiak,US,2022-05-10 19:25:38,57.79,-152.4072,42.31,45,0,27.63
117,Vestmannaeyjar,IS,2022-05-10 19:25:38,63.4427,-20.2734,52.79,54,0,8.05
118,Mabaruma,GY,2022-05-10 19:25:39,8.2,-59.7833,84.7,62,85,8.48
119,Arraial Do Cabo,BR,2022-05-10 19:25:39,-22.9661,-42.0278,75.16,73,75,6.91
120,Bayan,CN,2022-05-10 19:25:40,46.0833,127.4,58.64,52,100,14.81
121,Atuona,PF,2022-05-10 19:25:40,-9.8,-139.0333,78.87,67,97,19.24
122,Puteyets,RU,2022-05-10 19:25:40,65.1716,57.091,31.23,87,0,2.01
123,Abha,SA,2022-05-10 19:25:41,18.2164,42.5053,69.62,68,0,6.91
124,Namatanai,PG,2022-05-10 19:25:41,-3.6667,152.4333,80.76,78,85,11.23
125,Fortuna,US,2022-05-10 19:25:42,40.5982,-124.1573,56.93,64,40,8.05
126,Shimoda,JP,2022-05-10 19:25:42,34.6667,138.95,56.1,66,100,10.78
127,Mahebourg,MU,2022-05-10 19:25:43,-20.4081,57.7,76.24,94,40,5.75
128,Urumqi,CN,2022-05-10 19:25:43,43.801,87.6005,65.35,21,0,6.71
129,Stykkisholmur,IS,2022-05-10 19:25:43,65.0757,-22.7297,35.2,90,100,17.31
130,Dourados,BR,2022-05-10 19:25:44,-22.2211,-54.8056,70.59,84,100,6.55
131,New Norfolk,AU,2022-05-10 19:25:44,-42.7826,147.0587,45.9,89,3,3.49
132,Saint-Pierre,RE,2022-05-10 19:25:45,-21.3393,55.4781,73.08,73,0,8.05
133,Pevek,RU,2022-05-10 19:25:45,69.7008,170.3133,28.54,92,100,5.1
134,Goya,AR,2022-05-10 19:26:46,-29.14,-59.2626,70.45,49,10,6.04
135,Esperance,AU,2022-05-10 19:26:46,-33.8667,121.9,62.44,39,7,15.66
136,Lamar,US,2022-05-10 19:26:47,33.6668,-95.5836,85.91,66,75,16.11
137,Pisco,PE,2022-05-10 19:24:47,-13.7,-76.2167,66.02,88,100,4.61
138,Tezu,IN,2022-05-10 19:26:47,27.9167,96.1667,70.88,96,100,2.42
139,Bud,US,2022-05-10 19:26:48,39.447,-86.1758,86.2,67,42,11.72
140,Gazimurskiy Zavod,RU,2022-05-10 19:26:48,51.5461,118.3266,27.46,77,100,4.34
141,Thompson,CA,2022-05-10 19:26:48,55.7435,-97.8558,62.76,48,100,12.66
142,Kavieng,PG,2022-05-10 19:26:49,-2.5744,150.7967,82.54,78,95,14.45
143,Bilma,NE,2022-05-10 19:26:49,18.6853,12.9164,96.73,9,4,10.22
144,Cherskiy,RU,2022-05-10 19:26:50,68.75,161.3,19.08,89,24,8.95
145,Jalu,LY,2022-05-10 19:26:50,29.0331,21.5482,76.37,26,34,6.78
146,Longyearbyen,SJ,2022-05-10 19:26:51,78.2186,15.6401,21.04,58,0,11.5
147,Kaitangata,NZ,2022-05-10 19:26:51,-46.2817,169.8464,40.39,91,12,7.49
148,Ordu,TR,2022-05-10 19:26:51,40.9086,37.6845,37.9,90,0,5.55
149,Nanortalik,GL,2022-05-10 19:26:52,60.1432,-45.2371,36.61,86,100,9.44
150,Klyuchi,RU,2022-05-10 19:26:52,52.2667,79.1667,51.82,32,100,11.7
151,Kruisfontein,ZA,2022-05-10 19:26:53,-34.0033,24.7314,61.74,42,47,5.41
152,Udankudi,IN,2022-05-10 19:26:53,8.4333,78.0167,84.04,68,83,8.59
153,Matay,EG,2022-05-10 19:26:54,28.419,30.7792,80.98,20,2,6.17
154,Gizo,SB,2022-05-10 19:26:57,-8.103,156.8419,82.47,78,97,8.63
155,Severnyy,RU,2022-05-10 19:26:57,50.677,36.5532,41.04,52,0,6.71
156,Hamilton,US,2022-05-10 19:25:41,39.1834,-84.5333,86.09,57,0,13.8
157,Port Elizabeth,ZA,2022-05-10 19:26:58,-33.918,25.5701,64.31,61,0,3.44
